1.Activity diagrams are used to support | The process view 
2.With a good software design, which is benefit we will get | It helps to coordinate development teams to work together orderly 
3.Which of the following is advantage of broker architecture| Changeability and extensibility 
4.The outcomes of Object Oriented Analysis stage are| Requirement Specification, Initial logic structure of the system 
5.Which of the following if limitation of Non-buffered Event-Based architecture| Reliability and overhead of indirect invocations 
6.Package diagram is grouped in which of following UML diagram category| Structure diagram 
7.The Architectural Decision Procedure includes  following steps| 2-1-3
8.Design produces architectures that specify products and components in the form of which of the following| A detail-level design solution
9.Which of the following is TRUE for implementing the separation of the user interface from the logic of software system| The same logic can be accessed by different kinds of user interfaces
10.The constituent parts of the architecture of a system are which of the following| Its component, connectors, and the rules governing their interactions
11.Which diagram equivalent to a sequence diagram| Collaboration diagram
12.Which of the following is NOT benefit of distributed architecture| Testability
13.Which of the following architecture is suitable for the embedded system software design| Process-Control Architecture 
14.When you are requested to develop a Radar software system, a Traffic management system, etc, which of the following architecture is the best suitable for development| PAC architecture 
15.Which of the perspective where the connectors in software architecture might be classification into 4 types: Variable, environment resource, method, message| Based on connector’s information carrier 
16.ATAM is which of the following methods| Architecture Trace-off Analysis Method 
17.Repository architecture and Backboard architecture is categorized into which of the following architecture style| Data-centered architecture style 
18.Which of the following is TRUE?| c.	Hardware independence does not imply software independence 
19.Which of the following is one limitation of Client/Server architecture| Server availability and reliability 
20.Which of the following is limitation of message-driven architecture| Capacity limit of message queue 
21.When will you apply the Batch Sequence architecture| Developing a system where each sub-system reads related input files and writes output files. 
22.Which of the following attributes which could be observable at runtime| Availability, Security, Performance 
23.Which of the following is one of advantages of Component-Based architecture| Productivity for the software development and future software development 
24.The usability of a user interface is enhanced by consistency and integration| The usability of a user interface is enhanced by consistency and integration
25.Which of the following is a limitation of Layered architecture| Lower runtime performance
26.User interface Evaluation does NOT  focus on which of following features| Only the tailor –able of the user interface 
27.Quality attributes are used to make architectural decision, which of the following is NOT a quality attribute| Productivity
28.Which of the following is a limitation of component architecture| Adaption of components 
29.The acronym SAPCO is used  for which of following purpose| Describing the Satisfactory principles of user interface 
30.Which of the following guides is NOT the guideline for mapping runtime elements in a software architecture design| If the two elements are mapped to a single process, the connector could be mapped to local method invocation
31.Polymorphism principles mean that….| An object can have different appearance/behaviors under difference circumstances 
32.Availability refers to…| a system’s capability to be available 24/7 
33.Which of the following is NOT an architecture style in hierarchical architecture| Client-Server architecture 
34.Which of the following is the limitation of Repository Architecture Style?| Data store reliability availability is a very important issue 
35.High dependency between data structure of  data store and its agency| High dependency between data structure of  data store and its agency
36.Which of the following is NOT a buffer- based software architecture| Peer-to-peer connection 
37.Which of the following is a buffer- based software architecture| Publish-Subscribe Messaging(P&S)
38.In UML 2.0, which diagram derived from use case scenarios| Use-case diagram 
39.Which of the following is an Open-Close principle’s implication| Keep attributes private
40.Which of the following is NOT the benefit of multi-tier architecture style| C-	Load balancing 
41.In Client-Server architecture style, there are follow types| Thin-client, Fat-client 
42.In Thin-client type, the server includes which  of the following processing | Data storage processing, Business Logic Processing 
43.In Fat-client type, the server includes which  of the following processing| Presentation processing, Business Logic Processing
44.Which of the following is the design style could be applicable in Weather broadcast, Pattern recognition and authentication security systems?| Blackboard 
45.Which of following structures describe the static properties of software architecture| Software code structure. 
46.Which of following structures describe the dynamic properties of software architecture| Software runtime structure
47.Which of the following notations is used to support the physical view| None of the above 
48.Which of the following are benefits of OO design| All of the above.
49.Which of the following are features of OO methodology| Inheritance 
50.Which are the categories of operations that a class can provide| Constructor, Destructor, Accessor, Mutator 
51.Polymorphism implies the following:  < knowledge of OOP, need review>| All of the others 
52.Which of the following are considered as Runtime attribute| Availability, Security, Performance, Usability 
53.Which of the following is not an Open-Closed principle’s implication| Feel free to change software code 
54.What is a class involved in accomplishing the responsibility of a class called in CRC modeling| 	Collaborator 
55.Which of the following diagram is NOT an structural diagram| Sequence diagram 
56.In UML 2.0 Which of the following is true| Sequence Diagram both concurrencies and loops can be specified 
57.In a sequence diagram, boxes on top of the diagram can represent classes, objects and actors. We found a description of a box as follow “John:Doctor”. Which of the following is correct expression| An object named “John” whose class is “Doctor” 
58.Which of the following is Open-Closed principle| Open to extension, Close to modification 
59.Which is not a structure which can be described in a software architecture| 	Dynamic structure
60.Which view in “4+1” view model identifies software modules and their boundaries, interfaces, external environment, usage scenarios| 	Logical view 
61.Which of the following are not benefits of pipe and filter| Interactive 
62.Which of the following are not benefits of batch sequential| All of the above 
63.The below image is a snapshot of which architecture styles following| Event-based architecture
64.The follow image is an example of| Repository architecture
65.Which of the following is true about buffered message system| All of the others
66.The below image is a snapshot of which architecture styles following| Repository architecture
67.Which of the following architecture is suitable for the embedded system software design| Process-Control Architecture 
68.Which of the following is an Open-Close principle’s implication| Separate interface and implementation 
69.Based on connector’s information carrier, the connectors in software architecture might be classification into | Variable, Environment resource, Method, Message 
70.Which of the following diagram called| Sequence diagram
71.Polymorphism principles means that| An object can have different appearance/behaviors under different circumstances.
72.Which of the following are considered as Business attributes| Time to market, Lifetime, Cost 
73.When will you apply the Process-Control architecture| Developing a system which needs to maintain an output data at a stable level
74. The Architectural Decision Procedure includes following steps| 2 => 1 => 3
75.ATAM is which of the following methods| Architecture Trade-off Analysis Method 
76.Which of the following is one of distributed architecture| Service Oriented architecture 
77.Which of the following is a PAC architecture benefit| All of the others 
78.State machine diagram is grouped in which of following UML diagram category| Behavioral Diagrams 
79.Sequence diagram are used to support| The logical view 
80.Which of the following is a typical style of Hierarchical architecture| Hierarchical structure, Layered, Master-Slave, Virtual Machine 
81.The following diagram is a description of which architecture style| Blackboard architecture 
82.1) is better because of which following| Easy expansion
83.Compared with Service Oriented Architecture (SOA), the advantage of Component Based Architecture (CBA) is which of the following| Allows stateful service
84.In UML 2.0, Which diagram describes time sequence of messages passed between objects in timeline| Sequence Diagram 
85.In Non-buffered Event-based architecture, how many partitions a system could be broken into| 2 partitions 
86.Portability refers to | The level of independence of the system on software and hardware platforms
87.Which is the benefit of MVC| Multiple views synchronized with same data model 
88.One of limitation of Batch Sequence architecture is that it does not support for interactive interfaces | One of limitation of Batch Sequence architecture is that it does not support for interactive interfaces 
89.Which diagram is equivalent to a sequence diagram?| State machine diagram
90.Which of the following is TRUE for implementing the separation of the user interface from the logic of the software system| The same logic can be accessed by different kinds of user interfaces.
94.Which of the followings are not benefits of batch sequential| All
95.Which of the following is not a benefit of repository architecture| 	Concurrency 
96.Which of the following is a typical design domain of blackboard architecture| AI system
